Datetime,Gold_Close,Gold_High,Gold_Low,Gold_Open,Gold_Volume,DXY_Close,VIX_Close,SP500_Close,Gold_RSI,Gold_MACD,Gold_MACD_Signal,Gold_BB_Width,Gold_ATR,Gold_ATR_Pct,Gold_Stoch,Gold_Return_4,Gold_Return_12,Gold_Return_24,Gold_Return_72,DXY_Return_12,VIX_Return_12,SP500_Return_12,Bullish_FVG,Bearish_FVG,FVG_Size,FVG_Net,Bullish_OB,Bearish_OB,OB_Net,BOS_Bullish,BOS_Bearish,CHoCH_Bullish,CHoCH_Bearish,Structure_Score,Bullish_Engulfing,Bearish_Engulfing,Hammer,Shooting_Star,Doji,Inside_Bar,Outside_Bar,Body_Ratio,Upper_Shadow_Ratio,Lower_Shadow_Ratio,FVG_Net_10,OB_Net_20,Structure_Score_30,Target
2024-12-04 16:00:00-05:00,2674.300048828125,2675.60009765625,2673.300048828125,2674.60009765625,1343,106.36599731445312,13.449999809265137,6039.18017578125,54.94786181202857,2.451559339672258,1.8670652551625873,20.654171757812037,17.39708787528704,0.650528645164944,82.88899739583333,-0.0005978749482459245,0.0043187621260039055,0.003715713424124578,-0.0011577850260289235,-0.001061232415344504,0.02671751279415946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.13045324275554612,0.4347733786222269,0.4347733786222269,0.0,1.0,1.0,0
2024-12-04 18:00:00-05:00,2673.89990234375,2675.300048828125,2672.5,2674.199951171875,0,106.35399627685547,13.449999809265137,6039.18017578125,54.43334364421891,2.3674521720822668,1.9671426385465234,20.80971284046791,16.354442229061178,0.6116325526892775,81.99978298611111,0.00014958007995136136,0.002925548329695715,0.0029632041799512177,-0.0033174840921382787,-0.0016334071912887937,0.02750188330640113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.10715842706426018,0.3928851687156683,0.4999564042200715,0.0,1.0,1.0,0
2024-12-04 19:00:00-05:00,2672.10009765625,2674.0,2671.300048828125,2674.0,2050,106.30500030517578,13.449999809265137,6039.18017578125,52.07155244881991,2.1310025680209037,1.9999146244413994,20.562238449890174,15.379121439262166,0.5755443612592016,78.00021701388889,-0.0015319683097033687,0.0014991941282538335,0.0027771030960241916,-0.005248996266816963,-0.0015028040972927537,0.02750188330640113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.7036802604213762,0.0,0.29631973957862373,0.0,1.0,1.0,0
2024-12-04 20:00:00-05:00,2670.800048828125,2674.60009765625,2651.0,2672.10009765625,3473,106.35099792480469,13.449999809265137,6039.18017578125,50.371431763760775,1.8177575008512576,1.9634831997233713,20.551653067852385,15.966334026189868,0.5978109081282765,75.11121961805556,-0.0013834178993736845,0.004362251003779516,0.0031551032123235956,-0.005251537870486933,-0.002420088660964659,0.020485546118183873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.055086586804046926,0.1059317650466555,0.8389816481492975,0.0,1.0,1.0,0
2024-12-04 21:00:00-05:00,2670.5,2673.699951171875,2649.800048828125,2670.800048828125,2243,106.2699966430664,13.449999809265137,6039.18017578125,49.96595092444578,1.5276868721830397,1.876323934215305,20.534364871930848,16.533017477444165,0.6190982017391562,74.44444444444444,-0.0014209508128267823,-0.000262036232655638,0.0022894827652875094,0.0007494847292486284,-0.003385507705952695,0.02750188330640113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.01255439557071935,0.12133532187876683,0.8661102825505138,0.0,1.0,1.0,0
2024-12-04 22:00:00-05:00,2672.800048828125,2673.300048828125,2668.300048828125,2670.300048828125,1832,106.24500274658203,13.449999809265137,6039.18017578125,53.08368950634957,1.4664937007155459,1.7943578875153534,20.6109249812871,15.709230514769583,0.5877443216022542,79.37235195585772,-0.0004113293525539463,7.481522284247255e-05,0.001761534799988862,0.004774238075877069,-0.002796960129193393,0.03223331426716558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.5,0.1,0.4,0.0,1.0,1.0,0
2024-12-04 23:00:00-05:00,2670.60009765625,2673.60009765625,2669.60009765625,2672.800048828125,1302,106.30000305175781,13.449999809265137,6039.18017578125,49.88200442046327,1.2263434734541079,1.6807550047031043,19.536918529172,14.872856906571755,0.5569106703629776,66.17234759300177,-0.0005613562161521646,-0.0033958479238115347,0.001462536676712034,0.0045136536369567715,0.0006495301966187306,0.03065131131678167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.54998779296875,0.20001220703125,0.25,0.0,1.0,1.0,0
2024-12-05 00:00:00-05:00,2677.5,2680.0,2655.0,2670.199951171875,4928,106.17900085449219,13.449999809265137,6039.18017578125,58.36404959272674,1.5746357219850324,1.65953114815949,18.969736745089904,15.59622427038806,0.5824920362423178,86.02482352851976,0.0025085933238673253,0.0012340321921997521,0.002808988764045006,0.010644302514676962,-0.00031067235315596076,0.022813703379285233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.292001953125,0.1,0.607998046875,0.0,1.0,1.0,-1
2024-12-05 01:00:00-05:00,2671.699951171875,2678.60009765625,2671.199951171875,2677.300048828125,4513,106.16999816894531,13.449999809265137,6039.18017578125,50.610185173411175,1.366887739849517,1.6010024664974956,17.074399630043445,15.010790142815697,0.5618441597916557,71.56865091712743,0.00044933576928474217,-0.0015695471897869684,0.0,0.007352386833196389,0.0003579917782658981,0.0128012108217046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.7567549734419847,0.17567879647652668,0.06756623008148857,0.0,1.0,1.0,0
2024-12-05 02:00:00-05:00,2673.5,2676.0,2650.0,2671.60009765625,7979,106.09700012207031,13.449999809265137,6039.18017578125,52.7099926889152,1.3321387972309822,1.547229732644193,16.12764266332215,15.795733704043148,0.5908260222196802,78.476786392776,0.0002618793621251836,0.0,0.000823550754936786,0.008411304027924338,-0.0015809463938555313,0.010518361024399514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0730731670673077,0.09615384615384616,0.8307729867788461,0.0,1.0,1.0,0
