Datetime,Adj Close,Close,High,Low,Open,Volume
2026-08-20 04:00:00+00:00,4546.10009765625,4546.10009765625,4556.60009765625,4543.39990234375,4556.39990234375,0
2026-08-20 05:00:00+00:00,4538.5,4538.5,4551.39990234375,4534.7998046875,4546.0,3806
2026-08-20 06:00:00+00:00,4550.7998046875,4550.7998046875,4553.5,4537.2001953125,4538.60009765625,6024
2026-08-20 07:00:00+00:00,4547.60009765625,4547.60009765625,4552.7001953125,4540.10009765625,4550.60009765625,4873
2026-08-20 08:00:00+00:00,4546.10009765625,4546.10009765625,4555.89990234375,4543.89990234375,4547.89990234375,5530
2026-08-20 09:00:00+00:00,4538.89990234375,4538.89990234375,4551.0,4538.2001953125,4546.2001953125,4560
2026-08-20 10:00:00+00:00,4546.39990234375,4546.39990234375,4552.5,4537.0,4539.10009765625,4171
2026-08-20 11:00:00+00:00,4523.10009765625,4523.10009765625,4547.89990234375,4521.2001953125,4546.7001953125,10669
2026-08-20 12:00:00+00:00,4529.7001953125,4529.7001953125,4532.2998046875,4506.0,4523.2998046875,17523
2026-08-20 13:00:00+00:00,4537.0,4537.0,4544.39990234375,4524.10009765625,4529.7998046875,15951
2026-08-20 14:00:00+00:00,4571.7001953125,4571.7001953125,4572.0,4535.7998046875,4536.7998046875,18959
2026-08-20 15:00:00+00:00,4577.2998046875,4577.2998046875,4597.10009765625,4563.5,4571.7998046875,32802
2026-08-20 16:00:00+00:00,4566.7001953125,4566.7001953125,4580.7001953125,4559.2001953125,4577.5,8474
2026-08-20 17:00:00+00:00,4576.0,4576.0,4576.89990234375,4564.10009765625,4566.7001953125,6696
2026-08-20 18:00:00+00:00,4578.5,4578.5,4581.7001953125,4564.7001953125,4576.0,5540
2026-08-20 19:00:00+00:00,4584.89990234375,4584.89990234375,4588.0,4574.7001953125,4578.2998046875,4191
2026-08-20 20:00:00+00:00,4575.10009765625,4575.10009765625,4585.2001953125,4573.0,4584.5,2026
2026-08-20 22:00:00+00:00,4580.2001953125,4580.2001953125,4580.2001953125,4571.0,4577.0,0
2026-08-20 23:00:00+00:00,4582.2001953125,4582.2001953125,4589.0,4577.10009765625,4579.89990234375,3440
2026-08-21 00:00:00+00:00,4567.2001953125,4567.2001953125,4583.7001953125,4566.2998046875,4582.2998046875,3126
2026-08-21 01:00:00+00:00,4587.0,4587.0,4600.2998046875,4565.5,4567.2001953125,7141
2026-08-21 02:00:00+00:00,4590.0,4590.0,4599.2001953125,4574.0,4586.7998046875,5560
2026-08-21 03:00:00+00:00,4590.89990234375,4590.89990234375,4594.7001953125,4582.60009765625,4590.0,2465
2026-08-21 04:00:00+00:00,4596.7998046875,4596.7998046875,4604.39990234375,4591.2001953125,4591.5,4033
2026-08-21 05:00:00+00:00,4610.10009765625,4610.10009765625,4612.39990234375,4585.39990234375,4596.39990234375,5908
2026-08-21 06:00:00+00:00,4617.89990234375,4617.89990234375,4624.7001953125,4601.7998046875,4609.89990234375,9132
2026-08-21 07:00:00+00:00,4621.0,4621.0,4625.0,4615.39990234375,4617.7998046875,5890
2026-08-21 08:00:00+00:00,4641.0,4641.0,4642.0,4615.7998046875,4621.39990234375,10338
2026-08-21 09:00:00+00:00,4639.7001953125,4639.7001953125,4659.39990234375,4637.60009765625,4641.10009765625,13836
2026-08-21 10:00:00+00:00,4645.7998046875,4645.7998046875,4651.60009765625,4634.5,4639.39990234375,7281
2026-08-21 11:00:00+00:00,4654.39990234375,4654.39990234375,4661.7001953125,4644.2998046875,4645.5,7950
2026-08-21 12:00:00+00:00,4634.7001953125,4634.7001953125,4659.10009765625,4620.5,4654.7001953125,18190
2026-08-21 13:00:00+00:00,4638.2998046875,4638.2998046875,4650.2001953125,4630.0,4634.60009765625,15060
2026-08-21 14:00:00+00:00,4648.10009765625,4648.10009765625,4660.2001953125,4636.5,4638.10009765625,17876
2026-08-21 15:00:00+00:00,4672.0,4672.0,4673.0,4644.10009765625,4648.5,13380
2026-08-21 16:00:00+00:00,4686.60009765625,4686.60009765625,4687.2001953125,4666.2998046875,4672.10009765625,10785
2026-08-21 17:00:00+00:00,4678.7001953125,4678.7001953125,4690.39990234375,4673.39990234375,4686.7001953125,14697
2026-08-21 18:00:00+00:00,4681.7998046875,4681.7998046875,4686.10009765625,4677.5,4679.0,4955
2026-08-21 19:00:00+00:00,4674.7001953125,4674.7001953125,4683.10009765625,4673.0,4682.10009765625,4668
2026-08-21 20:00:00+00:00,4680.60009765625,4680.60009765625,4680.60009765625,4661.0,4674.60009765625,2580
2026-08-23 22:00:00+00:00,4663.10009765625,4663.10009765625,4679.10009765625,4663.0,4675.39990234375,2062
2026-08-23 23:00:00+00:00,4681.60009765625,4681.60009765625,4682.0,4661.89990234375,4663.5,3548
2026-08-24 00:00:00+00:00,4678.7998046875,4678.7998046875,4698.60009765625,4651.7998046875,4681.60009765625,9593
2026-08-24 01:00:00+00:00,4688.60009765625,4688.60009765625,4694.2998046875,4664.60009765625,4679.0,8902
2026-08-24 02:00:00+00:00,4700.39990234375,4700.39990234375,4713.7998046875,4684.2998046875,4688.7001953125,9983
