Gold_ATR_Pct,Gold_ATR,Gold_BB_Width,Gold_MACD,Gold_MACD_Signal,Gold_RSI,Gold_Return_72,Gold_Return_12,BOS_Bearish,Gold_Return_24,OB_Net_20,CHoCH_Bullish,Body_Ratio,Inside_Bar,VIX_Return_12,Target,Original_Index
0.6687290271127492,17.804240964794143,12.808753022944984,-0.9965722669185197,-1.24383324218478,53.30746880872979,-0.0003379816272564007,0.002560552958821294,0.0,0.0027871571916195936,0.0,0.0,0.18310609837869435,0.0,-0.06578951404438771,1,0
0.70816121492105,18.789641861282064,13.616701030964578,-1.3205274174310944,-1.259172077234043,44.45499015274666,-0.004165986309285219,-0.002481241309046811,0.0,-0.0012797464547136261,0.0,0.0,0.28164378481530983,0.0,-0.06236246326727135,0,1
0.7467710587898704,19.926092526324418,15.187600491356534,-0.36270849071115663,-1.0798793599294656,57.101270341278,0.0008627339940454615,0.0030825724111283037,0.0,0.006222188587443389,0.0,0.0,0.43227726533972183,0.0,-0.06167402053200599,1,2
0.7653436420928642,20.41707196640839,16.80639573471035,0.34398183531675386,-0.7951071208802217,56.54659410716359,0.0011258303204759734,0.0038759875090839113,0.0,0.010301060849034371,0.0,0.0,0.029852785774150056,1.0,-0.02293579453247141,1,3
0.7764681805813355,20.65871317081672,16.769118767482723,0.327366490242639,-0.5706123986556497,50.31877500590417,-0.0006760083960022367,0.0013172254982367626,0.0,0.004796327573130199,0.0,0.0,0.2983125609068062,1.0,-0.02218821489092071,2,4
0.7871932446724507,20.925958407499454,16.715175274950525,0.12713841889262767,-0.43106223514599423,48.45687112845598,-0.002289391134663865,-0.00045119427406470347,0.0,-0.0017273850630196153,0.0,0.0,0.09016139199343626,0.0,-0.02068968994769549,2,5
0.7960193495753702,21.174114698704848,15.60566709268187,0.10442434343849527,-0.32396491942909633,49.931477305281874,-0.0030359047111333526,-0.0009014056609742971,0.0,-0.0015764399252494732,0.0,0.0,0.0860690593638374,0.0,-0.016923097463754533,2,6
0.8022779082898507,21.383113481386648,16.238758542536743,0.5082343122812745,-0.15752507308702215,54.31945723633802,-0.0005249568265581761,0.003199337490131793,0.0,0.002067824610509028,0.0,0.0,0.224071560265008,0.0,-0.016166284976685263,1,7
0.8079731172261928,21.591466006153674,19.293749131780714,1.3772223583860068,0.14942441320758365,59.38254458899467,0.000861441508660965,0.00496406704791208,0.0,0.004133318227248939,0.0,0.0,0.2880652647865532,0.0,-0.010835939821674745,1,8
0.8078540953729149,21.577782887410557,21.41717345572397,1.9386510081235429,0.5072697321907755,58.09468976469492,-0.0002619871934226303,0.005344757193202598,0.0,0.003456289354238029,0.0,0.0,0.07009377780820042,1.0,0.02843965250190328,1,9
0.8175452880854823,21.886505705720516,25.644993847875412,2.84304134721242,0.9744240551951044,62.23350976276761,0.0021712457313320943,0.008741925530804995,0.0,0.004088270453828535,1.0,0.0,0.23166110514111193,0.0,0.06132073243685454,2,10
0.8238107290475586,22.07318386959762,29.559937892485323,3.7026701480972406,1.5200732737755316,63.689564775045845,0.005931748050843844,0.009228219858071318,0.0,0.006347381161971866,2.0,0.0,0.08570830676020408,0.0,0.05712054077961448,2,11
0.8394222171704232,22.482245652349576,31.963776092771695,4.246235222779433,2.065305663576312,62.449543878154216,0.005556616792988578,0.005972110527189267,0.0,0.008547955391291495,2.0,0.0,0.03956300661286215,0.0,0.05477306916205982,2,12
0.8414769528938033,22.54064272628889,34.170186910777375,4.655616192213529,2.583367769303756,62.7336505030977,0.005971121395595302,0.009572947603482707,0.0,0.007067953501392887,2.0,0.0,0.017163334590720482,1.0,0.05164318162772519,1,13
0.8488657854952447,22.8234539601254,39.887706386516584,5.721021610520438,3.2108985375470924,69.04144528837105,0.008476746066470753,0.0076452805046078876,0.0,0.010751420046495097,3.0,0.0,0.37358122051886794,0.0,0.050078275171760334,0,14
0.8767510868952872,23.650360569000373,47.3435901985149,7.192542324992701,4.007227295036214,73.32101216456005,0.011019040241247335,0.011170689872762596,0.0,0.015089974836261177,4.0,0.0,0.25290448038721675,0.0,0.052425672166910076,1,15
0.8845091469328051,23.80390973036642,50.578434916302285,7.760908877677593,4.757963611564491,66.25930751704706,0.012033694565125819,0.011501109671679277,0.0,0.012833484724833477,4.0,0.0,0.24030773015888035,0.0,0.08528952858862682,1,16
0.8852598468016127,23.81791617819739,52.164667700608334,8.061930341111292,5.418756957473851,65.5044578508724,0.007225235542422714,0.012112985961110656,0.0,0.011656326377138537,4.0,0.0,0.025004069010416668,0.0,0.06885760037776856,1,17
0.8386566520118356,22.538058047165432,51.30599948991039,7.958598280440583,5.926725222067198,62.12850191444587,0.0055376053830420435,0.010300715166823293,0.0,0.009390024382885498,4.0,0.0,0.5254489779028387,1.0,0.08294213159347708,1,18
0.8406509540194549,22.578203733528618,49.55730421280805,7.659320194276916,6.273244216509142,60.398519320650266,0.002276410705453147,0.0076914417230484755,0.0,0.01091538673103809,4.0,0.0,0.0692574351603289,0.0,0.07198748791210319,1,19
0.8429491480882025,22.61548187086586,48.7052473316553,7.106206644320537,6.439836702071422,57.284560705063804,0.0032532912013787385,0.003966565625844742,0.0,0.008950322971473357,4.0,0.0,0.12121372254750681,0.0,0.08763692558377678,1,20
0.8401038689566512,22.521504929196873,44.279714979360506,6.424363478357918,6.436742057328721,55.07064806169953,0.00183121441877665,0.003669056094393497,0.0,0.009033423501548787,4.0,0.0,0.09858557608546147,0.0,0.05231687617921854,1,21
