Datetime,Adj Close,Close,High,Low,Open,Volume
2026-08-12 13:30:00+00:00,7750.47021484375,7750.47021484375,7766.009765625,7741.72021484375,7765.4599609375,0
2026-08-12 14:30:00+00:00,7745.66015625,7745.66015625,7753.93994140625,7737.9501953125,7750.580078125,288919983
2026-08-12 15:30:00+00:00,7747.31982421875,7747.31982421875,7749.1201171875,7738.080078125,7745.81005859375,227797073
2026-08-12 16:30:00+00:00,7751.080078125,7751.080078125,7755.6201171875,7744.68994140625,7747.2998046875,206393000
2026-08-12 17:30:00+00:00,7753.419921875,7753.419921875,7755.39990234375,7749.58984375,7751.2099609375,217011000
2026-08-12 18:30:00+00:00,7752.06005859375,7752.06005859375,7758.9501953125,7750.669921875,7753.4501953125,265386000
2026-08-12 19:30:00+00:00,7748.7099609375,7748.7099609375,7752.68994140625,7742.919921875,7752.10009765625,397337000
2026-08-13 13:30:00+00:00,7815.08984375,7815.08984375,7815.5400390625,7763.18017578125,7763.18017578125,0
2026-08-13 14:30:00+00:00,7784.2001953125,7784.2001953125,7816.7001953125,7782.35009765625,7814.8798828125,316110829
2026-08-13 15:30:00+00:00,7787.830078125,7787.830078125,7787.830078125,7776.919921875,7784.18017578125,239130526
2026-08-13 16:30:00+00:00,7794.02978515625,7794.02978515625,7797.4501953125,7785.02978515625,7787.7998046875,192690000
2026-08-13 17:30:00+00:00,7792.35009765625,7792.35009765625,7795.27001953125,7789.60986328125,7794.10009765625,197391000
2026-08-13 18:30:00+00:00,7802.56982421875,7802.56982421875,7806.919921875,7792.35986328125,7792.35986328125,302976000
2026-08-13 19:30:00+00:00,7798.85986328125,7798.85986328125,7804.85986328125,7796.259765625,7802.7001953125,418453000
2026-08-14 13:30:00+00:00,7795.330078125,7795.330078125,7810.009765625,7792.41015625,7806.60009765625,0
2026-08-14 14:30:00+00:00,7784.39990234375,7784.39990234375,7796.08984375,7780.080078125,7795.490234375,252568689
2026-08-14 15:30:00+00:00,7788.6298828125,7788.6298828125,7789.6201171875,7779.89990234375,7784.2998046875,211671527
2026-08-14 16:30:00+00:00,7779.08984375,7779.08984375,7788.7099609375,7778.02978515625,7788.64013671875,153330152
2026-08-14 17:30:00+00:00,7780.8798828125,7780.8798828125,7784.669921875,7776.31005859375,7779.02001953125,172868000
2026-08-14 18:30:00+00:00,7783.330078125,7783.330078125,7786.4501953125,7779.89990234375,7780.8798828125,201598000
2026-08-14 19:30:00+00:00,7786.009765625,7786.009765625,7786.18017578125,7781.06005859375,7783.35986328125,352975000
2026-08-17 13:30:00+00:00,7774.47998046875,7774.47998046875,7790.68017578125,7771.009765625,7790.68017578125,0
2026-08-17 14:30:00+00:00,7777.919921875,7777.919921875,7779.27978515625,7769.75,7774.580078125,285967933
2026-08-17 15:30:00+00:00,7773.56005859375,7773.56005859375,7778.60009765625,7768.22998046875,7777.97998046875,212308952
2026-08-17 16:30:00+00:00,7756.39990234375,7756.39990234375,7774.39990234375,7755.509765625,7773.419921875,195472043
2026-08-17 17:30:00+00:00,7756.47998046875,7756.47998046875,7758.990234375,7751.830078125,7756.27978515625,203575000
2026-08-17 18:30:00+00:00,7751.72998046875,7751.72998046875,7758.81982421875,7751.60986328125,7756.47021484375,239328000
2026-08-17 19:30:00+00:00,7746.14013671875,7746.14013671875,7753.14013671875,7744.8798828125,7751.60986328125,384176000
2026-08-18 13:30:00+00:00,7706.97021484375,7706.97021484375,7713.9501953125,7696.16015625,7700.0400390625,0
2026-08-18 14:30:00+00:00,7698.93017578125,7698.93017578125,7712.10009765625,7693.89013671875,7706.66015625,312578891
2026-08-18 15:30:00+00:00,7702.22998046875,7702.22998046875,7708.47998046875,7695.91015625,7698.77978515625,209169771
2026-08-18 16:30:00+00:00,7702.990234375,7702.990234375,7708.990234375,7700.77001953125,7702.2001953125,176755000
